metric,xgb_folds,logreg_folds,paired_diffs,mean_diff_xgb_minus_logreg,t_stat,df,p_raw,cohens_d,bootstrap_ci_lo,bootstrap_ci_hi,correction_factor,holm_threshold,significant_after_holm,claim
pr_auc,"[0.8264939592459962, 0.8714976241849071, 0.8037341856243508, 0.8767604075228523, 0.8733816928202217]","[0.7508275193803291, 0.7305092893550322, 0.6969311762212363, 0.7636521091993126, 0.7644470376256302]","[0.07566643986566712, 0.14098833482987483, 0.10680300940311449, 0.11310829832353975, 0.10893465519459156]",0.10910014752335755,7.005204054912632,4,0.0021860327876437324,4.699233738912544,0.08938212546473112,0.12816686297576152,0.45,0.008333333333333333,True,reject equal performance
f1,"[0.8421052631578947, 0.8873239436619719, 0.8115942028985508, 0.8611111111111112, 0.88]","[0.8260869565217391, 0.8029197080291971, 0.7368421052631579, 0.8205128205128205, 0.8496732026143791]","[0.016018306636155555, 0.08440423563277477, 0.07475209763539292, 0.040598290598290676, 0.03032679738562094]",0.04921994557764697,2.508027962910342,4,0.06619653378809476,1.682436304361354,0.026657699728368733,0.07178219142692521,0.45,0.0125,False,do not claim significance
precision,"[0.9655172413793104, 0.9402985074626866, 0.9032258064516128, 0.9117647058823528, 0.8918918918918919]","[0.9047619047619048, 0.8870967741935484, 0.8596491228070176, 0.8, 0.8441558441558441]","[0.06075533661740562, 0.05320173326913824, 0.043576683644595215, 0.11176470588235277, 0.04773604773604778]",0.06340690142990793,3.4016435891088768,4,0.027236059471947405,2.2818918901421434,0.04716543920608485,0.08833951683706695,0.45,0.01,False,do not claim significance
recall,"[0.7466666666666667, 0.84, 0.7368421052631579, 0.8157894736842105, 0.868421052631579]","[0.76, 0.7333333333333333, 0.6447368421052632, 0.8421052631578947, 0.8552631578947368]","[-0.013333333333333308, 0.10666666666666669, 0.09210526315789469, -0.02631578947368418, 0.013157894736842146]",0.034456140350877205,0.8396568497024917,4,0.4483553191686138,0.5632589381124287,-0.013228070175438566,0.08214035087719299,0.45,0.05,False,do not claim significance
fpr,"[4.412965292027978e-05, 8.825930584055957e-05, 0.0001323918799646, 0.0001323918799646, 0.0001765225066195]","[0.0001323889587608, 0.0001544537852209, 0.0001765225066195, 0.0003530450132391, 0.0002647837599293]","[-8.825930584052021e-05, -6.619447938034043e-05, -4.413062665489998e-05, -0.0002206531332745, -8.826125330979999e-05]",-0.00010149975969201211,-2.1904526031040428,4,0.09364475367519853,-1.469400276609602,-0.0001632830265027281,-6.17819035822002e-05,0.45,0.016666666666666666,False,do not claim significance
balanced_accuracy,"[0.8733112685068731, 0.9199558703470796, 0.8683548566915966, 0.907828540902123, 0.9341222650624796]","[0.8799338055206196, 0.8665894397740561, 0.8222801597993218, 0.9208761090723278, 0.9274991870674036]","[-0.006622537013746488, 0.05336643057302348, 0.046074696892274836, -0.013047568170204804, 0.006623077995075999]",0.017278820055284604,0.8428160115160515,4,0.44677855740680794,0.565378168282541,-0.006543426474565317,0.04110106658513453,0.45,0.025,False,do not claim significance
