model,evaluation,pr_auc,f1,precision,recall,fpr,balanced_accuracy
Logistic regression,Nested 5-fold CV,0.7412734263563081,0.8072069585882586,0.8591327291836631,0.7670877192982456,0.00021623880475392,0.8834357402467458
Logistic regression,Holdout,0.6929193894278408,0.8135593220338984,0.8780487804878049,0.7578947368421053,0.000176519390655,0.8788591087257251
XGBoost,Nested 5-fold CV,0.8503735738796656,0.8564269041659058,0.9225396306135709,0.8015438596491228,0.00011473904506190786,0.9007145603020303
XGBoost,Holdout,0.8106582054985095,0.8363636363636363,0.9857142857142858,0.7263157894736842,1.7651939065506346e-05,0.8631490687673093
